ATS System Code,Location Code,Location Name,BEDS Number,Managed By Name,Location Type Description,Location Category Description,Grades,Grades Final,Open Date,Status Description,Building Code,Primary Address,City,State Code,Zip,Borough Block Lot,Census Tract,Community District,Council District,NTA,NTA_Name,Principal Name,Principal Title,Principal Phone Number,Fax Number,Geographical District Code,Administrative District Code,Administrative District Location Code,Administrative District Name,Superintendent,Superintendent Title,Superintendent Location Code,Community School Sup Name,HighSchool Network Location Code,HighSchool Network Name,HighSchool Network Superintendent,Executive Superintendent Location code,Executive Superintendent Name,Executive Superintendent Title,BCO Location Code,BCO Location Name,BCO Executive Director,BCO Executive Director Title
01M184,M184,P.S. 184m Shuang Wen,3.101E+11,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",Jun 22 1999,Open,M137,327 CHERRY STREET,MANHATTAN,NY,10002,1002450007,201,103,1,MN28,Lower East Side,"Jeremy Kabinoff, Ed.D.",I.A. Principal,212-602-9700,212-602-9710,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",CSD Superintendent,M801,"CHAN, CARRY",NA,NA,NA,SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
01M188,M188,P.S. 188 The Island School,3.101E+11,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",Jul 1 1904,Open,M188,442 EAST HOUSTON STREET,NEW YORK,NY,10002,1003560100,2000,103,2,MN28,Lower East Side,Suany Ramos,Principal,212-677-5710,212-228-3007,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",CSD Superintendent,M801,"CHAN, CARRY",NA,NA,NA,SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
01M292,M292,Orchard Collegiate Academy,3.101E+11,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Sep 8 2004,Open,M056,220 HENRY STREET,MANHATTAN,NY,10002,1002690041,201,103,1,MN28,Lower East Side,MILES DOYLE,Principal,212-406-9411,NA,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",CSD Superintendent,M801,"CHAN, CARRY",NA,NA,NA,SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
01M315,M315,The East Village Community School,3.101E+11,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1999,Open,M061,610 EAST 12 STREET,MANHATTAN,NY,10009,1003940012,2800,103,2,MN28,Lower East Side,Bradley Goodman,Principal,212-982-0682,212-260-4012,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",CSD Superintendent,M801,"CHAN, CARRY",NA,NA,NA,SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
01M332,M332,University Neighborhood Middle School,3.101E+11,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Sep 13 2004,Open,M056,220 HENRY STREET,MANHATTAN,NY,10002,1002690041,201,103,1,MN28,Lower East Side,LAURA PEYNADO CASTRO,Principal,212-267-5701,212-349-8224,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",CSD Superintendent,M801,"CHAN, CARRY",NA,NA,NA,SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
01M361,M361,The Children's Workshop School,3.101E+11,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1999,Open,M061,610 EAST 12 STREET,MANHATTAN,NY,10009,1003940012,2800,103,2,MN28,Lower East Side,MARIA VELEZ CLARKE,Principal,212-614-9531,212-614-9462,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",CSD Superintendent,M801,"CHAN, CARRY",NA,NA,NA,SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
01M363,M363,Neighborhood School,3.101E+11,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1999,Open,M063,121 EAST 3 STREET,MANHATTAN,NY,10009,1004310014,3200,103,2,MN22,East Village,Dyanthe Spielberg,Principal,212-387-0195,212-387-0198,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",CSD Superintendent,M801,"CHAN, CARRY",NA,NA,NA,SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
01M364,M364,Earth School,3.101E+11,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1999,Open,M064,600 EAST 6 STREET,MANHATTAN,NY,10009,1003870001,2601,103,2,MN28,Lower East Side,Claudia de Luna Castro,Principal,212-477-1735,212-477-2396,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",CSD Superintendent,M801,"CHAN, CARRY",NA,NA,NA,SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
01M378,M378,School for Global Leaders,3.101E+11,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Jul 1 2008,Open,M025,145 STANTON STREET,MANHATTAN,NY,10002,1003540080,3001,103,1,MN27,Chinatown,Keri Ricks,Principal,212-260-5375,212-432-5586,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",CSD Superintendent,M801,"CHAN, CARRY",NA,NA,NA,SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
01M448,M448,University Neighborhood High School,3.101E+11,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Jun 4 1999,Open,M446,200 MONROE STREET,MANHATTAN,NY,10002,1002590044,202,103,1,MN28,Lower East Side,Matthew Willie,Principal,212-962-4341,212-267-5611,1,1,HS04,NA,"ORLEN, VIVIAN",HS Superintendent,HS04,NA,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
01M450,M450,East Side Community School,3.101E+11,DOE,General Academic,Secondary School,"06,07,08,09,10,11,12,SE","06,07,08,09,10,11,12",Jun 5 1996,Open,M060,420 EAST 12 STREET,MANHATTAN,NY,10009,1004390017,3400,103,2,MN22,East Village,MARK FEDERMAN,Principal,212-460-8467,212-260-9657,1,1,HS12,NA,"Cheng, Alan",HS Superintendent,HS12,NA,HS12,H.S. Network 12 Superintendent Office,"Cheng, Alan",SS02,"DUNN, RECY",Executive Superintendent,AFSA,Affinity Schools NYCDOE Citywide Office,Carolyne Quintana,FSC Executive Director
01M458,M458,Forsyth Satellite Academy,3.101E+11,DOE,Transfer School,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 2010,Open,M510,198 FORSYTH STREET,MANHATTAN,NY,10002,1004220072,3601,103,1,MN27,Chinatown,Patrick Reimer,Principal,212-677-8900,212-260-3063,1,1,HS12,NA,"Cheng, Alan",HS Superintendent,HS12,NA,HS12,H.S. Network 12 Superintendent Office,"Cheng, Alan",SS02,"DUNN, RECY",Executive Superintendent,AFSA,Affinity Schools NYCDOE Citywide Office,Carolyne Quintana,FSC Executive Director
01M509,M509,Marta Valle High School,3.101E+11,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Jun 5 1996,Open,M025,145 STANTON STREET,MANHATTAN,NY,10002,1003540080,3001,103,1,MN27,Chinatown,Andre Rodrigues,I.A. Principal,212-473-8152,212-475-7588,1,1,HS04,NA,"ORLEN, VIVIAN",HS Superintendent,HS04,NA,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
01M515,M515,Lower East Side Preparatory High School,3.101E+11,DOE,Transfer School,High school,"09,10,11,12","09,10,11,12",Jun 5 1996,Open,M025,145 STANTON STREET,MANHATTAN,NY,10002,1003540080,3001,103,1,MN27,Chinatown,Rene Anaya,Principal,212-505-6366,212-260-0813,1,1,HS10,NA,"ROTONDO, PAUL",HS Superintendent,HS10,NA,HS10,HS Network 10 Superintendent Office,"ROTONDO, PAUL",SS09,"LISANTE, TIM",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
01M539,M539,"New Explorations into Science, Technology and Math High School",3.101E+11,DOE,General Academic,K-12 all grades,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE","0K,01,02,03,04,05,06,07,08,09,10,11,12",Jul 1 2000,Open,M022,111 COLUMBIA STREET,MANHATTAN,NY,10002,1003350001,2201,103,2,MN28,Lower East Side,MARK BERKOWITZ,Principal,212-677-5190,212-260-8124,1,1,HS04,NA,"ORLEN, VIVIAN",HS Superintendent,HS04,NA,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
01M650,M650,Cascades High School,3.101E+11,DOE,Transfer School,High school,"09,10,11,12","09,10,11,12",Jan 5 1998,Open,M510,198 FORSYTH STREET,MANHATTAN,NY,10002,1004220072,3601,103,1,MN27,Chinatown,Claire Sheehan,Principal,646-654-1261,646-654-1742,1,1,HS10,NA,"ROTONDO, PAUL",HS Superintendent,HS10,NA,HS10,HS Network 10 Superintendent Office,"ROTONDO, PAUL",SS09,"LISANTE, TIM",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
01M696,M696,Bard High School Early College,3.101E+11,DOE,General Academic,High school,"09,10,11,12,SE","09,10,11,12",Jul 1 2001,Open,M097,525 EAST HOUSTON STREET,MANHATTAN,NY,10002,1003250025,1002,103,2,MN28,Lower East Side,MICHAEL LERNER,Principal,212-995-8479,212-777-4702,1,1,HS04,NA,"ORLEN, VIVIAN",HS Superintendent,HS04,NA,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
01M839,M839,Tompkins Square Middle School,3.101E+11,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Jul 1 2001,Open,M064,600 EAST 6 STREET,MANHATTAN,NY,10009,1003870001,2601,103,2,MN28,Lower East Side,SONHANDO ESTWICK,Principal,212-995-1430,212-979-1341,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,"CHAN, CARRY",CSD Superintendent,M801,"CHAN, CARRY",NA,NA,NA,SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
02M001,M001,P.S. 001 Alfred E. Smith,3.102E+11,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1898,Open,M001,8 HENRY STREET,MANHATTAN,NY,10038,1002790040,2700,103,1,MN27,Chinatown,AMY HOM,Principal,212-267-4133,212-267-4469,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",CSD Superintendent Acting,M802,"CHUMNEY, DONALDA",NA,NA,NA,SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
02M002,M002,P.S. 002 Meyer London,3.102E+11,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1958,Open,M002,122 HENRY STREET,MANHATTAN,NY,10002,1002730001,600,103,1,MN28,Lower East Side,Silvana Ng,Principal,212-964-0350,212-608-4080,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",CSD Superintendent Acting,M802,"CHUMNEY, DONALDA",NA,NA,NA,SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
02M003,M003,P.S. 003 Charrette School,3.102E+11,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1905,Open,M003,490 HUDSON STREET,MANHATTAN,NY,10014,1005850041,7300,102,3,MN23,West Village,Hillary Casado,Principal,212-691-1183,212-675-5306,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",CSD Superintendent Acting,M802,"CHUMNEY, DONALDA",NA,NA,NA,SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
02M006,M006,P.S. 006 Lillie D. Blake,3.102E+11,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",Jul 1 1953,Open,M006,45 EAST 81 STREET,MANHATTAN,NY,10028,1014930021,14200,108,4,MN40,Upper East Side-Carnegie Hill,LAUREN FONTANA,Principal,212-452-6650,212-452-6645,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",CSD Superintendent Acting,M802,"CHUMNEY, DONALDA",NA,NA,NA,SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
02M011,M011,P.S. 011 William T. Harris,3.102E+11,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1925,Open,M011,320 WEST 21 STREET,MANHATTAN,NY,10011,1007440024,8900,104,3,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,ROBERT BENDER,Principal,212-929-1743,212-989-7816,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",CSD Superintendent Acting,M802,"CHUMNEY, DONALDA",NA,NA,NA,SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
02M033,M033,P.S. 033 Chelsea Prep,3.102E+11,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1951,Open,M033,281 9 AVENUE,MANHATTAN,NY,10001,1007240023,9700,104,3,MN13,Hudson Yards-Chelsea-Flatiron-Union Square,Chingchien Wang,Principal,212-244-6426,212-629-6893,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",CSD Superintendent Acting,M802,"CHUMNEY, DONALDA",NA,NA,NA,SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
02M040,M040,P.S. 040 Augustus Saint-Gaudens,3.102E+11,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1899,Open,M040,320 EAST 20TH STREET,MANHATTAN,NY,10003,1009250012,6400,106,2,MN21,Gramercy,SUSAN FELDER,Principal,212-475-5500,212-533-5388,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",CSD Superintendent Acting,M802,"CHUMNEY, DONALDA",NA,NA,NA,SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
02M041,M041,P.S. 041 Greenwich Village,3.102E+11,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1958,Open,M041,116 WEST 11 STREET,MANHATTAN,NY,10011,1006060049,7100,102,3,MN23,West Village,KELLY SHANNON,Principal,212-675-2756,212-924-0910,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",CSD Superintendent Acting,M802,"CHUMNEY, DONALDA",NA,NA,NA,SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
02M042,M042,P.S. 042 Benjamin Altman,3.102E+11,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1899,Open,M042,71 HESTER STREET,MANHATTAN,NY,10002,1003090001,1600,103,1,MN27,Chinatown,May Lee,Principal,212-226-8410,212-431-7384,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",CSD Superintendent Acting,M802,"CHUMNEY, DONALDA",NA,NA,NA,SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
02M047,M047,47 The American Sign Language and English Secondary School,3.102E+11,DOE,Special Education,High school,"09,10,11,12,SE","09,10,11,12,SE",Jul 1 1908,Open,M047,223 EAST 23 STREET,MANHATTAN,NY,10010,1009040024,6400,106,2,MN21,Gramercy,WATFA SHAMA,Principal,917-326-6668,917-326-6688,2,2,HS04,NA,"ORLEN, VIVIAN",HS Superintendent,HS04,NA,HS04,HS Network 04 Superintendent Office,"ORLEN, VIVIAN",SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
02M051,M051,P.S. 051 Elias Howe,3.102E+11,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",Jul 1 1905,Open,M338,525 WEST 44TH STREET,MANHATTAN,NY,10036,1010730014,12900,104,3,MN15,Clinton,Stephanie Lukas,Principal,212-315-7160,212-315-7165,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",CSD Superintendent Acting,M802,"CHUMNEY, DONALDA",NA,NA,NA,SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
02M059,M059,P.S. 059 Beekman Hill International,3.102E+11,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",Jul 1 1960,Open,M488,231-249 EAST 56 STREET,MANHATTAN,NY,10019,1013300013,10800,106,4,MN19,Turtle Bay-East Midtown,ADELE SCHROETER,Principal,212-888-7870,212-888-7872,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",CSD Superintendent Acting,M802,"CHUMNEY, DONALDA",NA,NA,NA,SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
02M077,M077,P.S. 77 Lower Lab School,3.102E+11,DOE,General Academic,Elementary,"0K,01,02,03,04,05","0K,01,02,03,04,05",Jul 1 1999,Open,M198,1700 3 AVENUE,MANHATTAN,NY,10128,1015240023,15801,108,5,MN40,Upper East Side-Carnegie Hill,Sandra Miller,Principal,212-427-2798,212-423-0634,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",CSD Superintendent Acting,M802,"CHUMNEY, DONALDA",NA,NA,NA,SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
02M089,M089,P.S. 89,3.102E+11,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",Jul 1 1998,Open,M089,201 WARREN STREET,MANHATTAN,NY,10282,1000160221,31703,101,1,MN25,Battery Park City-Lower Manhattan,VERONICA NAJJAR,Principal,212-571-5659,212-571-0739,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",CSD Superintendent Acting,M802,"CHUMNEY, DONALDA",NA,NA,NA,SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
02M104,M104,J.H.S. 104 Simon Baruch,3.102E+11,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Jul 1 1956,Open,M104,330 EAST 21 STREET,MANHATTAN,NY,10010,1009260001,6400,106,2,MN21,Gramercy,Rocco Macri,Principal,212-674-4545,212-477-2205,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,"CHUMNEY, DONALDA",CSD Superintendent Acting,M802,"CHUMNEY, DONALDA",NA,NA,NA,SS04,"ROSALES, MARISOL",Executive Superintendent,MFSC,Manhattan NYCDOE Borough Office,Steven Aragona,FSC Executive Director
